bairro,grau,ordem_ego,tamanho_ego,densidade_ego
Boa Vista,10,11,21,0.38181818181818183
Cabanga,3,4,4,0.6666666666666666
Coelhos,5,6,11,0.7333333333333333
Ilha Do Leite,4,5,7,0.7
Ilha Joana Bezerra,4,5,6,0.6
Paissandu,4,5,6,0.6
Recife,3,4,5,0.8333333333333334
Santo Amaro,7,8,13,0.4642857142857143
Santo Antônio,5,6,11,0.7333333333333333
São José,7,8,13,0.4642857142857143
Soledade,2,3,3,1.0
Água Fria,8,9,16,0.4444444444444444
Alto Santa Teresinha,6,7,12,0.5714285714285714
Arruda,8,9,16,0.4444444444444444
Beberibe,4,5,7,0.7
Bomba Do Hemetério,5,6,10,0.6666666666666666
Cajueiro,3,4,5,0.8333333333333334
Campina Do Barreto,5,6,9,0.6
Campo Grande,7,8,14,0.5
Dois Unidos,4,5,7,0.7
Encruzilhada,7,8,15,0.5357142857142857
Fundão,4,5,8,0.8
Hipódromo,3,4,6,1.0
Linha Do Tiro,6,7,12,0.5714285714285714
Peixinhos,3,4,5,0.8333333333333334
Ponto De Parada,6,7,13,0.6190476190476191
Porto Da Madeira,4,5,7,0.7
Rosarinho,5,6,10,0.6666666666666666
Torreão,4,5,8,0.8
Aflitos,4,5,8,0.8
Alto Do Mandu,5,6,9,0.6
Alto José Bonifacio,5,6,10,0.6666666666666666
Alto José Do Pinho,5,6,10,0.6666666666666666
Apipucos,7,8,14,0.5
Brejo Da Guabiraba,5,6,9,0.6
Brejo De Beberibe,7,8,14,0.5
Casa Amarela,10,11,19,0.34545454545454546
Casa Forte,4,5,8,0.8
Córrego Do Jenipapo,5,6,9,0.6
Derby,4,5,7,0.7
Dois Irmãos,5,6,8,0.5333333333333333
Espinheiro,6,7,12,0.5714285714285714
Graças,9,10,17,0.37777777777777777
Guabiraba,4,5,5,0.5
Jaqueira,4,5,7,0.7
Macaxeira,4,5,8,0.8
Mangabeira,5,6,10,0.6666666666666666
Monteiro,5,6,9,0.6
Morro Da Conceição,5,6,10,0.6666666666666666
Nova Descoberta,6,7,11,0.5238095238095238
Parnamirim,6,7,11,0.5238095238095238
Passarinho,4,5,7,0.7
Pau-Ferro,1,2,1,1.0
Poço,4,5,7,0.7
Santana,5,6,8,0.5333333333333333
Sítio Dos Pintos,2,3,3,1.0
Tamarineira,8,9,16,0.4444444444444444
Vasco Da Gama,5,6,9,0.6
Caxangá,5,6,9,0.6
Cidade Universitária,4,5,9,0.9
Cordeiro,8,9,14,0.3888888888888889
Engenho Do Meio,5,6,11,0.7333333333333333
Ilha Do Retiro,5,6,7,0.4666666666666667
Iputinga,8,9,17,0.4722222222222222
Madalena,6,7,11,0.5238095238095238
Prado,8,9,18,0.5
Torre,5,6,8,0.5333333333333333
Torrões,4,5,8,0.8
Várzea,4,5,8,0.8
Zumbi,4,5,8,0.8
Afogados,10,11,22,0.4
Areias,6,7,11,0.5238095238095238
Barro,5,6,9,0.6
Bongi,4,5,9,0.9
Caçote,1,2,1,1.0
Coqueiral,3,4,5,0.8333333333333334
Curado,10,11,20,0.36363636363636365
Estância,3,4,6,1.0
Jardim São Paulo,6,7,12,0.5714285714285714
Jiquiá,7,8,15,0.5357142857142857
Mangueira,4,5,9,0.9
Mustardinha,4,5,9,0.9
San Martin,9,10,22,0.4888888888888889
Sancho,4,5,8,0.8
Tejipió,5,6,9,0.6
Totó,3,4,5,0.8333333333333334
Boa Viagem,4,5,7,0.7
Brasília Teimosa,1,2,1,1.0
Cohab,3,4,5,0.8333333333333334
Ibura,7,8,13,0.4642857142857143
Imbiribeira,5,6,8,0.5333333333333333
Ipsep,2,3,3,1.0
Jordão,3,4,5,0.8333333333333334
Pina,4,5,5,0.5
